Date,Price,Open,High,Low,Vol.,Change %
2022-04-20,5104.70,5104.70,5104.70,5104.70,,-0.66%
2022-04-19,5138.40,5138.40,5138.40,5138.40,,0.16%
2022-04-14,5130.40,5130.40,5130.40,5130.40,,0.33%
2022-04-13,5113.60,5113.60,5113.60,5113.60,,0.11%
2022-04-12,5108.00,5108.00,5108.00,5108.00,,0.93%
2022-04-11,5060.70,5060.70,5060.70,5060.70,,-1.85%
2022-04-08,5156.00,5156.00,5156.00,5156.00,,0.26%
2022-04-07,5142.80,5142.80,5142.80,5142.80,,-0.56%
2022-04-06,5171.80,5171.80,5171.80,5171.80,,-0.97%
2022-04-05,5222.60,5222.60,5222.60,5222.60,,-0.14%
2022-04-04,5229.80,5229.80,5229.80,5229.80,,0.39%
2022-04-01,5209.60,5209.60,5209.60,5209.60,,0.68%
2022-03-31,5174.30,5174.30,5174.30,5174.30,,-0.47%
2022-03-30,5198.80,5198.80,5198.80,5198.80,,1.74%
2022-03-29,5110.00,5110.00,5110.00,5110.00,,-1.66%
2022-03-28,5196.00,5196.00,5196.00,5196.00,,-0.32%
2022-03-25,5212.60,5212.60,5212.60,5212.60,,-0.96%
2022-03-24,5262.90,5262.90,5262.90,5262.90,,0.61%
2022-03-23,5230.80,5230.80,5230.80,5230.80,,3.93%
2022-03-22,5032.80,5032.80,5032.80,5032.80,,-1.42%
2022-03-21,5105.10,5105.10,5105.10,5105.10,,-0.75%
2022-03-18,5143.90,5143.90,5143.90,5143.90,,-1.03%
2022-03-17,5197.60,5197.60,5197.60,5197.60,,0.58%
2022-03-16,5167.80,5167.80,5167.80,5167.80,,-0.14%
2022-03-15,5175.10,5175.10,5175.10,5175.10,,-0.38%
2022-03-14,5194.80,5194.80,5194.80,5194.80,,-2.52%
2022-03-11,5329.00,5329.00,5329.00,5329.00,,0.55%
2022-03-10,5299.70,5299.70,5299.70,5299.70,,0.88%
2022-03-09,5253.70,5253.70,5253.70,5253.70,,-3.04%
2022-03-08,5418.30,5418.30,5418.30,5418.30,,-1.59%
2022-03-07,5505.70,5505.70,5505.70,5505.70,,2.80%
2022-03-04,5355.80,5355.80,5355.80,5355.80,,3.55%
2022-03-03,5172.40,5172.40,5172.40,5172.40,,2.49%
2022-03-02,5046.70,5046.70,5046.70,5046.70,,1.64%
2022-03-01,4965.30,4965.30,4965.30,4965.30,,2.26%
2022-02-28,4855.80,4855.80,4855.80,4855.80,,0.32%
2022-02-25,4840.40,4840.40,4840.40,4840.40,,-0.49%
2022-02-24,4864.40,4864.40,4864.40,4864.40,,1.10%
2022-02-23,4811.40,4811.40,4811.40,4811.40,,-0.42%
2022-02-22,4831.70,4831.70,4831.70,4831.70,,0.48%
2022-02-21,4808.40,4808.40,4808.40,4808.40,,-0.09%
2022-02-18,4812.50,4812.50,4812.50,4812.50,,0.18%
2022-02-17,4803.70,4803.70,4803.70,4803.70,,0.04%
2022-02-16,4801.90,4801.90,4801.90,4801.90,,0.60%
2022-02-15,4773.20,4773.20,4773.20,4773.20,,0.29%
2022-02-14,4759.50,4759.50,4759.50,4759.50,,0.81%
2022-02-11,4721.40,4721.40,4721.40,4721.40,,-3.20%
2022-02-10,4877.50,4877.50,4877.50,4877.50,,1.16%
2022-02-09,4821.60,4821.60,4821.60,4821.60,,2.42%
2022-02-08,4707.50,4707.50,4707.50,4707.50,,0.06%
2022-02-07,4704.90,4704.90,4704.90,4704.90,,0.29%
2022-02-04,4691.40,4691.40,4691.40,4691.40,,0.30%
2022-02-03,4677.20,4677.20,4677.20,4677.20,,0.27%
2022-02-02,4664.80,4664.80,4664.80,4664.80,,0.51%
2022-02-01,4641.30,4641.30,4641.30,4641.30,,1.18%
2022-01-31,4587.20,4587.20,4587.20,4587.20,,-0.29%
2022-01-28,4600.60,4600.60,4600.60,4600.60,,-1.71%
2022-01-27,4680.80,4680.80,4680.80,4680.80,,-0.73%
2022-01-26,4715.10,4715.10,4715.10,4715.10,,1.00%
2022-01-25,4668.60,4668.60,4668.60,4668.60,,0.51%
2022-01-24,4644.80,4644.80,4644.80,4644.80,,-2.05%
2022-01-21,4741.90,4741.90,4741.90,4741.90,,-0.54%
2022-01-20,4767.70,4767.70,4767.70,4767.70,,1.72%
2022-01-19,4687.20,4687.20,4687.20,4687.20,,1.66%
2022-01-18,4610.70,4610.70,4610.70,4610.70,,0.15%
2022-01-17,4603.60,4603.60,4603.60,4603.60,,0.33%
2022-01-14,4588.60,4588.60,4588.60,4588.60,,-1.18%
2022-01-13,4643.50,4643.50,4643.50,4643.50,,-0.92%
2022-01-12,4686.60,4686.60,4686.60,4686.60,,2.25%
2022-01-11,4583.60,4583.60,4583.60,4583.60,,1.84%
2022-01-10,4500.60,4500.60,4500.60,4500.60,,-0.52%
2022-01-07,4524.00,4524.00,4524.00,4524.00,,0.78%
2022-01-06,4488.80,4488.80,4488.80,4488.80,,-1.11%
2022-01-05,4539.20,4539.20,4539.20,4539.20,,-0.03%
2022-01-04,4540.60,4540.60,4540.60,4540.60,,0.86%
2021-12-31,4502.00,4502.00,4502.00,4502.00,,0.03%
2021-12-30,4500.50,4500.50,4500.50,4500.50,,0.25%
2021-12-29,4489.50,4489.50,4489.50,4489.50,,0.53%
2021-12-24,4466.00,4466.00,4466.00,4466.00,,-0.21%
2021-12-23,4475.20,4475.20,4475.20,4475.20,,0.13%
2021-12-22,4469.40,4469.40,4469.40,4469.40,,1.45%
2021-12-21,4405.60,4405.60,4405.60,4405.60,,1.61%
2021-12-20,4336.00,4336.00,4336.00,4336.00,,-0.69%
2021-12-17,4366.30,4366.30,4366.30,4366.30,,-0.02%
2021-12-16,4367.00,4367.00,4367.00,4367.00,,3.17%
2021-12-15,4232.80,4232.80,4232.80,4232.80,,-1.73%
2021-12-14,4307.40,4307.40,4307.40,4307.40,,-0.55%
2021-12-13,4331.20,4331.20,4331.20,4331.20,,-0.12%
2021-12-10,4336.30,4336.30,4336.30,4336.30,,-0.35%
2021-12-09,4351.40,4351.40,4351.40,4351.40,,-0.93%
2021-12-08,4392.10,4392.10,4392.10,4392.10,,0.80%
2021-12-07,4357.40,4357.40,4357.40,4357.40,,0.99%
2021-12-06,4314.60,4314.60,4314.60,4314.60,,-0.01%
2021-12-03,4314.90,4314.90,4314.90,4314.90,,-0.28%
2021-12-02,4327.10,4327.10,4327.10,4327.10,,-0.32%
2021-12-01,4341.10,4341.10,4341.10,4341.10,,0.33%
2021-11-30,4326.90,4326.90,4326.90,4326.90,,-0.95%
2021-11-29,4368.20,4368.20,4368.20,4368.20,,0.90%
2021-11-26,4329.20,4329.20,4329.20,4329.20,,-3.30%
2021-11-25,4477.00,4477.00,4477.00,4477.00,,-0.17%
2021-11-24,4484.40,4484.40,4484.40,4484.40,,1.34%
2021-11-23,4425.10,4425.10,4425.10,4425.10,,-0.43%
2021-11-22,4444.10,4444.10,4444.10,4444.10,,1.04%
2021-11-19,4398.30,4398.30,4398.30,4398.30,,2.09%
2021-11-18,4308.40,4308.40,4308.40,4308.40,,0.42%
2021-11-17,4290.20,4290.20,4290.20,4290.20,,-0.59%
2021-11-16,4315.60,4315.60,4315.60,4315.60,,-1.34%
2021-11-15,4374.30,4374.30,4374.30,4374.30,,-0.94%
2021-11-12,4415.80,4415.80,4415.80,4415.80,,0.80%
2021-11-11,4380.90,4380.90,4380.90,4380.90,,0.94%
2021-11-10,4340.20,4340.20,4340.20,4340.20,,0.10%
2021-11-09,4335.70,4335.70,4335.70,4335.70,,-1.04%
2021-11-08,4381.30,4381.30,4381.30,4381.30,,1.40%
2021-11-05,4320.70,4320.70,4320.70,4320.70,,0.54%
2021-11-04,4297.30,4297.30,4297.30,4297.30,,-1.10%
2021-11-03,4344.90,4344.90,4344.90,4344.90,,-0.82%
2021-11-02,4380.90,4380.90,4380.90,4380.90,,-1.09%
2021-11-01,4429.10,4429.10,4429.10,4429.10,,0.79%
2021-10-29,4394.20,4394.20,4394.20,4394.20,,-0.85%
2021-10-28,4431.70,4431.70,4431.70,4431.70,,1.68%
2021-10-27,4358.60,4358.60,4358.60,4358.60,,-3.32%
2021-10-26,4508.50,4508.50,4508.50,4508.50,,-0.95%
2021-10-25,4551.80,4551.80,4551.80,4551.80,,1.22%
2021-10-22,4496.90,4496.90,4496.90,4496.90,,-1.01%
2021-10-21,4542.70,4542.70,4542.70,4542.70,,-3.73%
2021-10-20,4718.50,4718.50,4718.50,4718.50,,0.62%
2021-10-19,4689.20,4689.20,4689.20,4689.20,,-1.04%
2021-10-18,4738.30,4738.30,4738.30,4738.30,,-0.51%
2021-10-15,4762.80,4762.80,4762.80,4762.80,,3.02%
2021-10-14,4623.40,4623.40,4623.40,4623.40,,2.59%
2021-10-13,4506.50,4506.50,4506.50,4506.50,,1.53%
2021-10-12,4438.60,4438.60,4438.60,4438.60,,-0.37%
2021-10-11,4455.10,4455.10,4455.10,4455.10,,2.05%
2021-10-08,4365.60,4365.60,4365.60,4365.60,,1.49%
2021-10-07,4301.60,4301.60,4301.60,4301.60,,1.94%
2021-10-06,4219.90,4219.90,4219.90,4219.90,,-1.00%
2021-10-05,4262.60,4262.60,4262.60,4262.60,,-0.11%
2021-10-04,4267.30,4267.30,4267.30,4267.30,,1.38%
2021-10-01,4209.20,4209.20,4209.20,4209.20,,1.16%
2021-09-30,4161.00,4161.00,4161.00,4161.00,,-2.39%
2021-09-29,4262.70,4262.70,4262.70,4262.70,,-1.12%
2021-09-28,4311.20,4311.20,4311.20,4311.20,,-0.03%
2021-09-27,4312.40,4312.40,4312.40,4312.40,,-0.69%
2021-09-24,4342.40,4342.40,4342.40,4342.40,,0.45%
2021-09-23,4323.10,4323.10,4323.10,4323.10,,0.34%
2021-09-22,4308.40,4308.40,4308.40,4308.40,,3.09%
2021-09-21,4179.20,4179.20,4179.20,4179.20,,-0.72%
2021-09-20,4209.60,4209.60,4209.60,4209.60,,-2.15%
2021-09-17,4301.90,4301.90,4301.90,4301.90,,-0.22%
2021-09-16,4311.50,4311.50,4311.50,4311.50,,0.02%
2021-09-14,4310.70,4310.70,4310.70,4310.70,,-1.37%
2021-09-13,4370.40,4370.40,4370.40,4370.40,,-1.33%
2021-09-10,4429.10,4429.10,4429.10,4429.10,,2.69%
2021-09-09,4313.20,4313.20,4313.20,4313.20,,1.65%
2021-09-08,4243.00,4243.00,4243.00,4243.00,,-0.13%
2021-09-07,4248.60,4248.60,4248.60,4248.60,,-0.85%
2021-09-06,4285.10,4285.10,4285.10,4285.10,,0.38%
2021-09-03,4269.00,4269.00,4269.00,4269.00,,0.63%
2021-09-02,4242.20,4242.20,4242.20,4242.20,,0.31%
2021-09-01,4229.10,4229.10,4229.10,4229.10,,-1.47%
2021-08-31,4292.40,4292.40,4292.40,4292.40,,1.40%
2021-08-27,4233.10,4233.10,4233.10,4233.10,,1.02%
2021-08-26,4190.20,4190.20,4190.20,4190.20,,-0.48%
2021-08-25,4210.50,4210.50,4210.50,4210.50,,0.04%
2021-08-24,4208.70,4208.70,4208.70,4208.70,,1.07%
2021-08-23,4164.00,4164.00,4164.00,4164.00,,2.13%
2021-08-20,4077.00,4077.00,4077.00,4077.00,,0.64%
2021-08-19,4051.10,4051.10,4051.10,4051.10,,-1.70%
2021-08-18,4121.10,4121.10,4121.10,4121.10,,-1.82%
2021-08-17,4197.40,4197.40,4197.40,4197.40,,-1.23%
2021-08-16,4249.80,4249.80,4249.80,4249.80,,-0.73%
2021-08-13,4281.10,4281.10,4281.10,4281.10,,0.87%
2021-08-12,4244.20,4244.20,4244.20,4244.20,,-0.41%
2021-08-11,4261.50,4261.50,4261.50,4261.50,,0.45%
2021-08-10,4242.50,4242.50,4242.50,4242.50,,1.49%
2021-08-09,4180.30,4180.30,4180.30,4180.30,,-1.18%
2021-08-06,4230.30,4230.30,4230.30,4230.30,,-0.59%
2021-08-05,4255.50,4255.50,4255.50,4255.50,,0.50%
2021-08-04,4234.40,4234.40,4234.40,4234.40,,-0.66%
