Date,Price,Open,High,Low,Close,LogReturns,WeeklyReturns,WeeklyVolatility ,,Change %,,,,,,,,,,Vol.
23-02-2018,"10,491.05","10,408.10","10,499.10","10,396.65","10,516.34",-0.009632,,,,1.04%,,,,,,,,,,217.13M
22-02-2018,"10,382.70","10,354.35","10,397.55","10,340.65","10,339.85",-0.016925,,,,-0.14%,,,,,,,,,,323.26M
21-02-2018,"10,397.45","10,426.00","10,426.10","10,349.60","10,463.53",0.01189,,,,0.36%,,,,,,,,,,241.33M
20-02-2018,"10,360.40","10,391.00","10,429.35","10,347.65","10,373.34",-0.008658,,,,-0.17%,,,,,,,,,,193.46M
19-02-2018,"10,378.40","10,488.90","10,489.35","10,302.75","10,414.43",0.003954,-0.019371,0.011577549,,-0.71%,,,,,,,,,,193.09M
16-02-2018,"10,452.30","10,596.20","10,612.90","10,434.05","10,502.95",0.008464,,,,-0.88%,,,,,,,,,,190.04M
15-02-2018,"10,545.50","10,537.90","10,618.10","10,511.05","10,582.16",0.007513,,,,0.42%,,,,,,,,,,217.09M
14-02-2018,"10,500.90","10,585.75","10,590.55","10,456.65","10,546.58",-0.003368,,,,-0.37%,,,,,,,,,,236.33M
12-02-2018,"10,539.75","10,518.20","10,555.50","10,485.40","10,603.40",0.005373,,,,0.81%,,,,,,,,,,224.12M
09-02-2018,"10,454.95","10,416.50","10,480.20","10,398.20","10,296.71",-0.02935,-0.011368,0.015841968,,-1.15%,,,,,,,,,,197.50M
08-02-2018,"10,576.85","10,518.50","10,637.80","10,479.55","10,619.48",0.030865,,,,0.96%,,,,,,,,,,239.41M
07-02-2018,"10,476.70","10,607.20","10,614.00","10,446.40","10,584.92",-0.003259,,,,-0.21%,,,,,,,,,,258.10M
06-02-2018,"10,498.25","10,295.15","10,594.15","10,276.30","10,132.49",-0.043684,,,,-1.58%,,,,,,,,,,274.66M
05-02-2018,"10,666.55","10,604.30","10,702.75","10,586.80","10,512.04",0.036775,,,,-0.87%,,,,,,,,,,247.48M
02-02-2018,"10,760.60","10,938.20","10,954.95","10,736.10","10,683.34",0.016164,0.036861,0.032455732,,-2.33%,,,,,,,,,,291.43M
01-02-2018,"11,016.90","11,044.55","11,117.35","10,878.80","11,033.51",0.032251,,,,-0.10%,,,,,,,,,,315.74M
31-01-2018,"11,027.70","11,018.80","11,058.50","10,979.30","10,996.76",-0.003336,,,,-0.20%,,,,,,,,,,253.46M
30-01-2018,"11,049.65","11,120.85","11,121.10","11,033.90","11,039.67",0.003894,,,,-0.73%,,,,,,,,,,234.97M
29-01-2018,"11,130.40","11,079.35","11,171.55","11,075.95","11,140.29",0.009073,,,,0.55%,,,,,,,,,,249.22M
25-01-2018,"11,069.65","11,095.60","11,095.60","11,009.20","11,078.96",-0.00552,0.036362,0.01512265,,-0.15%,,,,,,,,,,340.47M
24-01-2018,"11,086.00","11,069.35","11,110.10","11,046.15","11,071.56",-0.000667,,,,0.02%,,,,,,,,,,292.20M
23-01-2018,"11,083.70","10,997.40","11,092.90","10,994.55","11,115.07",0.003922,,,,1.07%,,,,,,,,,,293.45M
22-01-2018,"10,966.20","10,883.20","10,975.10","10,881.40","10,955.03",-0.014503,,,,0.66%,,,,,,,,,,238.82M
19-01-2018,"10,894.70","10,829.20","10,906.85","10,793.90","10,907.17",-0.004378,,,,0.72%,,,,,,,,,,214.01M
18-01-2018,"10,817.00","10,873.40","10,887.50","10,782.40","10,901.67",-0.000504,-0.016131,0.00695621,,0.26%,,,,,,,,,,321.61M
17-01-2018,"10,788.55","10,702.45","10,803.00","10,666.75","10,790.21",-0.010277,,,,0.82%,,,,,,,,,,260.49M
16-01-2018,"10,700.45","10,761.50","10,762.35","10,687.85","10,720.61",-0.006472,,,,-0.38%,,,,,,,,,,217.47M
15-01-2018,"10,741.55","10,718.50","10,782.65","10,713.80","10,778.52",0.005388,,,,0.56%,,,,,,,,,,181.26M
12-01-2018,"10,681.25","10,682.55","10,690.40","10,597.10","10,712.46",-0.006148,,,,0.28%,,,,,,,,,,180.59M
11-01-2018,"10,651.20","10,637.05","10,664.60","10,612.35","10,656.20",-0.005266,-0.022774,0.0058804,,0.18%,,,,,,,,,,158.63M
